text,polarite
"Critique de ""Mad Max 2"". Un film avec une atmosphère apocalyptique réaliste. Plus d'action que dans le précédent film. Le personnage de Mad Max est encore plus intéressant. , Mel Gibson est élégant plus que jamais. Le décor, les costumes sont parfaits. Les cascades sont démentielles. Le scénario reste simple mais tout aussi efficace. Les différents protagonistes sont crédibles. On assiste même à une course poursuite qui restera culte. 4/5",positif
"Un film qui se veut en phase avec son époque et qui prône un catéchisme féministe des plus indigeste avec son inévitable lot de clichés sur ces pauvres ""mâles"" devenus les faire-valoir d'une rhétorique ridiculement caricaturale. Le cinéma français serait-il capable d'autre chose que cet hymne à la bienpensance dégoulant de moraline ?",négatif
"Mal joué, pathétique.Aucun parmi le trio ne joue correctement.Aucune crédibilité dans leur rôle de bandits.Quelle daube !! Malkovitch fait particulièrement pitié.",négatif
"""Le grand cahier"" est une description implacable et d'une grande noirceur des ravages de la guerre à travers notamment la perte de l'innocence et la déshumanisation de deux jumeaux. Un bon sens de la mise en scène et de bons choix dans l'adaptation du livre donnent un film d'une grande puissance, même si sur la fin, j'ai trouvé que le propos tournait un peu en rond et que ça pouvait lasser.",positif
trés beau film ou le suspense monte crescendo et l'atmosphére devient vite étouffante. ça ressemble un peu à harry l'ami qui vous veut du bien avec plus de méchanceté et d'instabilité chez clovis cornillac. dans les deux cas le film est trés intéressant.,positif
"Bien que rarement spectateur des chevaliers du fiel... ce film est un ratage complet malgré des efforts dans les dialogues, on se noie dans un humour dérisoir... Des acteurs en dessous des exigences modernes... Pas pire que les tuches mais pas mieux non plus... une énième daube française !",négatif
"On a trouvé ""Les goonies"" du pauvre ! Pour commencer si on pouvait éviter de classer cette blague au rayon film d'horreur, ça éviterait à de pauvres brebis égarées en mal de sensations fortes de perdre 1h20 de leur vie de cinéphile. En effet, difficile de trouver quoi que ce soit d'effrayant ici, on est simplement face à trois gamins gentils mais moches qui s'inventent une vie en recherchant d'autres gamins méchants mais tout aussi moches ayant disparus. Palpitant n'est ce pas ? Mais ce n'est pas tout, on nous fait miroiter la présence d'une ghoul en passant par un procédé cher aux ""Creepshow"", la présence de comics horrifiques qui semblent parfois s'animer, semblent j'ai dit ... Au final, on est plus devant un drame, avec des thèmes plus qu'intéressants tels la violence infantile, le deuil, l'alcoolisme ou encore l'inceste, mais pour commencer on nous le vend très mal, de plus c'est traité à la va-comme-j'te-pousse au milieu d'un fourre-tout totalement incohérent, l'intelligence du propos se perd donc rapidement dans le grand-guignol avec en prime de jeunes acteurs plus que limites et une VF abominable. On a du mal à croire que 5 ans plus tôt le même réalisateur était à l'origine du viscéral ""Girl next door"", adaptation de l'oeuvre de Ketchum. Franchement pas grand chose à sauver de ce film d'aventure bas de gamme au public indéfini qui finit par agacer plus qu'il n'ennuie.",négatif
"On a massacré mon enfance à la scie sauteuse avec ""Le sortilège de Cendrillon"". Pourquoi? Pourquoi avoir fait une suite comme celle-ci? ""Cendrillon"", le si beau ""Cendrillon"" avait déjà une suite horrible avec ""Cendrillon, une vie de princesse"". Pourquoi avoir tenu à en rajouter une couche? Pourquoi Disney s'obstine à massacrer ses classiques avec tant d'acharnement? Parce-que oui, à ce stade c'est de l'acharnement. Pauvre Cendrillon ... Le scénario est bidon, les dessins affreux (Disney ne sait plus dessiner depuis un bon moment maintenant et cette ... chose ... le confirme) et la fin? Que dire ... Elle fait l'effet d'un tsunami sur les amoureux de Cendrillon. Beaucoup de dégâts donc. A éviter absolument sous peine d'en ressortir traumatisé.",négatif
"Magnifique perspective sur Alger, avec des angles différents à tous les points de vue . Personnages ambigus, images très prenantes d'une jeunesse désempare, d'une pauvreté maltraitée par des moins pauvres tout aussi paumés. Une souffrance parfois joyeuse mais dure à voir , pourtant si bien racontée qu'elle en devient douce. Une très pénétrante réflexion noire mais qui parait si sincère sur la société algérienne d'aujourd'hui.J'exagère un peu la note mais c'est magnifique d'en arriver là sur le plan cinéma avec si peu de moyens, je ne comprends pas pourquoi ce film n'a pas meilleure presse;",positif
"Inspiré d'un fait divers, ce film réalisé par un Roger Hanin très à l'aise devant et derrière la caméra, nous entraine dans une enquete dans laquelle flics ripoux, politiciens idéalistes et mafieux, petites frappes, victimes sans défense se mélangent dans un solide scénario abordant les thèmes du racisme, de l'auto-défense et des dérives politiques. Servi par une distribution rassemblant la crème des années 80, cette oeuvre méconnue nous laisse perplexe grace à son réalisme incluant des morceaux très violents et inquiétants qui, avec le recul décrivent certains fléaux encore d'actualité.",positif
"Jarmusch fout les codes du film de vampire en l'air. Il a bien raison, il n'y a pas que Bram Stocker dans la vie, et puis il est difficile de passer après Coppola. Ainsi l'héroïne n'est ni une vierge effarouchée, ni un monstre sanguinaire, mais une belle dame mature romantique et amoureuse (mais vampire tout de même). Ceci posé, le début du film est une telle épreuve qu'on a envie d'arrêter les frais, et quand c'est long, c'est long ! Après ça va mieux et l'histoire (pas bien compliquée l'histoire) se déroule enfin, fournissant à Jarmusch prétexte à affirmer sa misanthropie aiguë : en gros l'homme n'est qu'un prédateur inconscient (jusque-là, ça peut encore aller) et les belles réussites artistiques ne sont pas de son fait puisque ce sont des vampires qui ont écrit les pièces de Shakespeare et la musique de Schubert (pincez-moi, je rêve). Jarmusch ne semble d'ailleurs pas faire grande différence entre un accord de guitare électrique et une sonate de Schubert !). Sinon, sachez que le vampire a toujours plein d'argent dans ses poches (il vient d'où ?). Ah, les deux protagonistes s'appellent Adam et Eve (on admirera l'originalité) et il y a aussi la sœur d'Eve qui s'appelle Ava et qui est une vampirette mal élevée (quand elle a soif, elle vampirise ses potes, mais on ne sait pas pourquoi elle casse des guitares). Vers la fin Jarmusch nous filme une chanteuse libanaise (assez sexy) pendant 3 minutes sans qu'on ne saisisse bien le rapport avec le film. Bref tout cela est bien décousu, se regarde le nombril et ne marquera pas l'histoire du cinéma.",négatif
"Parodie? Comédie fantastique? Navet grotesque et sans imagination? Peut-être un peu des trois, mais surtout la dernière option, mon Colonel! Et oui, car au-delà de ces effets spéciaux bien peu convaincants, c'est surtout ce pathétique scénario et ces gags d'une pauvreté sans nom qui nous laisse pantois. Car entre les gesticulations incessantes de Martin Short et une mise en scène franchement grotesque, il n'y a guère lieu de s'amuser ne serai-ce qu'un tantinet. Seul (et je dis bien seul) Kathleen Turner réussit à nous amuser un peu en méchante sorcière, mais c'est au final bien insuffisant pour compenser autant de fautes de goût et un sens du spectacle aussi médiocre. Un film qui ne saura au final même pas amuser les enfants et s'avérera être un véritable crève-coeur pour les adultes : il est donc peu dire que cette ""Guerre des fées"" est à éviter à tout prix!",négatif
"Entre fantastique et thriller, le film maintient une certaine intrigue, certes simpliste mais assez prenante dans sa première partie. Mais au final, le résultat est trop moyen, voir peu captivant et à la conclusion « abracadabrantesque ».",négatif
"Un des plus grands films de Michel Deville, l'orfèvre du cinéma français. Folle inventivité de la mise en scène, brio de l'interprétation, ambiguïté permanente d'une intrigue à la fois trouble et ludique : tout l'art du cinéaste semble condensé ici dans ce faux-polar où les personnages s'ouvrent sur leur propre abîme pour notre plus grand plaisir. Rarement l'opacité du sentiment amoureux, sa lumineuse irrationalité mais aussi sa violence latente n'aura été aussi brillamment traité. Le mystère du film, élégant et frondeur, libère pour longtemps notre imaginaire. Bien après la projection.",positif
"Très téléfilm dans l'ensemble. Des dialogues bas de gamme, des invraisemblances comme le père d'une des athlètes qui décide auprès de la direction technique nationale qui va entraîner qui, du grand n'importe quoi. J'ai arrêté au bout d'une demi-heure. 1 étoile et demie.",négatif
"Hungry Hearts est le quatrième long-métrage de l'italien Saverio Costanzo. Et son meilleur après une adaptation pataude de La solitude des nombres premiers. Le film commence comme une comédie romantique et ne va cesser de changer de genre à mesure que le huis-clos de ce couple avec bébé vire au cauchemar dans une ambiance digne de Rosemary's Baby (le réalisateur revendique l'influence de Cassavetes qui semble pourtant moins évidente). Pour éviter les redondances, il y en a tout de même quelques unes, Hungry Hearts fait se succéder les points de vue : elle puis lui et encore elle. On a conscience du drame qui se noue mais Costanzo réussit à faire passer, malgré les incompréhensions et les divergences profondes du couple, un élément essentiel : ces deux-là s'aiment à la folie et cette passion nourrit leur relation qui se détériore pourtant. Ce duel sans faim (comprendront ceux qui verront le film) est mis en scène avec une grande science du cadre et parfois une douceur et une bienveillance paradoxales. Tout simplement parce que le film aime ses personnages y compris à travers leurs imperfections. Adam Driver est excellent et son jeu naturel se marie idéalement à l'interprétation toute en finesse de l'une des meilleures actrices de sa génération, sorte d'Isabelle Huppert transalpine, la remarquable Alba Rohrwacher.",positif
"J'ai vraiment adoré ce film!! Les décors et costumes sont superbes. L'histoire est du déjà vu mais il y a quelque chose d'excpetionelle que les autres n'ont pas, sûrement les acteurs.",positif
A éviter absolument!!!!!!!!Pas possible de faire un film aussi pétentieux! Superficiel qui se donne l'air profond comme le protagoniste se qualifie lui même d'ailleurs.,négatif
"La saga d'Amityville est assez longue... Si le 3ème opus est déjà si médiocre, je ne donne pas cher des autres. Pourtant, le premier était génial. Mais ce troisième film est inutile. On sait déjà que la maison est maudite, et voilà un crétin sceptique qui l'achète et on voit ses malheurs, enfin plutôt les malheurs de ses proches parce qu'à lui, il ne lui arrive pas grand chose. Même la marionnette qui sort du puits n'est pas pour lui! En plus de ça, les effets spéciaux sont ridicules. http://tempslibre.forumr.net",négatif
"Alors il y a un blanc, un noir, un métisse, une blonde, un chinois et un nain qui sont dans un avion !! J'ai cru au début d'une bonne blague des années 2000.. Je me demande encore pour quelle raison j'ai continué a le regarder, si ce n'est pour attendre un rebondissement qui n'est jamais venu. Quel gâchis, mais qu'est ce qui t'a pris Nicolas Cage ?! ( tu es tellement nul dans ton rôle de pilote ) Le meilleur des effets spéciaux est le moment ou elle laisse tomber le zippo pour faire sauter les barils..^^ Ayez la foi pauvre pêcheur blablabla.... je vais aller regarder au field de la nuit sur tf1 ! Je peux même pas le noter !",négatif
"Sur un scénario de bonne facture, un film tout en faux rythme, qui se veut tendre vers ce qui se fait aux US notamment par des contre-plongées ou par ses musiques 'clichées' type Ocean's Eleven, une bande-son qui ne colle pas avec le rythme donc, qui ne colle pas avec la psychologie des personnages, faussement originale. Le tout agrémenté d'une romance au combien fade. Un film interprété par une Sophie Marceau 'sans relief' (c'est bien triste) et un Attal sans inspiration, du moins la direction d'acteur en donne l'impression. Sami Frey fait ce qu'il peut. Soit,un bon scénar desservi par un film prétentieux et plat.",négatif
VIVE LES CHARLOTS ! j'adore touts leurs films et particulièrent celui-ci ou gérard à une drôle de voix (d'ado) surement qu'il était encore très jeune .,positif
"Pour le pire et la tristesse. Déçu je dois dire, car sur la forme Ashton & Brittany sont un beau couple. Seulement le fond manque de proximité, pas de charme sur les textes et peu de motivation pour nous d'être émerveiller, rien trouver de consistant.",négatif
"Un film policier/Thriller d'une redoutable efficacité qui happe dès les premières minutes et tient en haleine non stop pendant 2h10. Si l'histoire du policier victime d'un coup monté par ses collègues ripoux qui lui font porter le chapeau est de facture relativement classique, le film en déroule le meilleur traitement du sujet qui soit. L'idée du négociateur qui se retrouve lui même à commettre une prise d'otage et qui se retrouve face à ses collègues/ennemis est en effet plutôt intéressante. Ainsi, là ou les films habituelles du genre nous balade dans différents lieux et en multipliant les course-poursuites, ici, la majeure partie du film se déroule dans le même lieu à savoir le bureau de l'immeuble ou la prise d'otage a lieu et l'extérieur ou sont basés les forces de l'ordre. Ce passage qui aurait pu devenir long et répétitif se révèle captivant et très haletant avec beaucoup d'intensité puisque l'enquête de fond y évolue progressivement. Les éléments y sont astucieusement disséminés. On découvre aussi les tuyaux et coulisses d'une profession fascinante dont le film porte le titre et rend hommage. Dans le rôle conflictuel du négociateur prêt à tout pour prouver son innocence, Samuel L Jackson est tout simplement génial en montrant un personnage toujours sur le point de disjoncter mais tout en gardant malgré tout un certain contrôle et une lucidité. Il est entouré de très bons seconds rôles expérimentés dont bien sur Kevin Spacy qui interprète un intéressant personnage puisqu'il est le seul à avoir un regard extérieur sur l'affaire. L'ensemble alterne ainsi d'intenses face à face dialogués, des scènes d'action fulgurantes et spectaculaires avec les tentatives d'intervention des policiers ou encore des rebondissements. Le dénouement et la révélation de l'auteur du complot est plutôt satisfaisant. En conclusion, voilà un vrai must du genre. Un des films policiers des années 90 que je trouve le plus réussi avec « Le fugitif ».",positif
"Film sans moyens, scénario (très) pauvre, 1 seul décor ... à déconseiller aux plus de 10 ans (mais parfait en dessous pour les occuper 1h30).",négatif
"A bon ? C'est sa le film de la fin d'année ? Ben heu... dur année. Que dire de se film à part que c'est un navette du genre, reprenant scènes cultes de film de science fiction, et dialogue de m.... Skyline est incontestablement un film de heu... rien du tout. Bref les frères s'il vous plaît plus jamais, mais alors plus jamais.",négatif
"Mon Disney préféré. Probablement parce qu'il sort du Disney habituel, et que c'est le moins aimé. Pour une fois que le héros ne se fait pas la gonzesse à la fin ! On a une super histoire, une super morale qui me tient beaucoup à cœur sur la beauté intérieure et les mauvais regards de la société. Mais surtout, c'est marrant mais c'est la réalisation qui me plait, la narration, le visuel est magnifique on est bombardé de plans grandioses et très respectés de la cathédrale de Notre-Dame, très bien mise en valeur de part sa grandeur imposante. Quand j'y suis allé étant petit j'était bouche bée de voir la cathédrale de Quasimodo ! Tout cela accompagné de chansons qui sont pour moi les meilleures, les plus épiques, pas débiles par rapport aux autres, d'une épicness absolue cette musique. Et on finit avec des scènes marquantes, qui déchirent d'une action et ""violence"" assez rare pour un disney (Frolo qui met le feu au moulin avec des gens dedans, la maltraitance des gitans et du bossu, le bûcher avec Esméralda, la bataille de fin, Quasimodo qui se révolte et qui se transforme en bête dangereuse...) Les scènes épiques avec Quasimodo qui virevolte et qui tape du militaire tout en profanant la cathédrale avec de l'huile bouillante, des images de Paris embrasé, le pire méchant de tous les méchants de tous les Disney Frolo qui est juste à faire trembler une huître, tout cela est magnifique et porte un message assez conséquent ! J'adore également la scène ou Quasimodo brise ses chaines, on a une telle violence dans le visuel, la musique de la scène que quand j'étais petit c'est ça qui m'avais déjà attiré dans le film. Je n'ai qu'une reproche : Une chanson, une seule chanson qui fait tâche dans le film, le reste est par-fait ça change radicalement du Disney habituel. Excellente réalisation, excellente narration, excellente musique, excellent rythme et très bonne VF, jusqu’à l'explosion finale superbe, franchement c'est mon préféré. Rien à dire, c'est épique.",positif
Une suite navrante et ennuyeuse noyée dans un imbroglio scénaristique.,négatif
"Au cours de la guerre russo-turque de 1877-1878, le film suit le détective Eraste Fandorine, chargé de venir à bout d'un espion ottoman infiltré dans l’armée russe. Le dénouement de toute la guerre repose sur ses épaules .... Rien de moins ! On se demande ce que c'est : un film historique, un film policier, un docu-fiction (on voit les obus voler au ralenti et à quelques centimètres), un drame ou une comédie. Certainement un peu de tout ça mais rien de précis au final.",négatif
"Sans émotion, on passe en revue ce film pourtant généreux mais aux angles et à la perception limitéss. Même avec le ressentie de bien faire, la présence de certains acteurs dans un rôle peu consistant fini par sentir la stratégie commerciale et on décroche complètement.",négatif
J'ai été très décu.. beaucoup de longueur et peu de rires dans la salle! lourd dingue!,négatif
"Nul ! Interminable ( des plans fixes de 3 minutes sur une bougie, bon courage ) ! Aucun message interessant en arrière-plan...Un bon film pour Cannes en effet !",négatif
"Une réalisation et une photographie exécrables gâchent malheureusement un sujet grave et intéressant. Avec un meilleur traitement, ""Le Scaphandre et le papillon"" aurait pu être un bon film.",négatif
Un film retraçant les souvenirs d'enfance de Pagnol avec en guise une carte postale de la Provence. Pas grand chose à se mettre sous la dent faute de scénario. Les acteurs et la réalisation ne sont pourtant pas mauvais mais on s'ennuie ferme.,négatif
"Un beau film mais qui laisse sur sa faim... Un excellent jeu d'acteur avec un bon casting mais un scénario qui fait trop d'impasses à mon avis. Les agriculteurs, les chasseurs sont laissés de côtés dans ce film dédiés aux espaces ruraux. Bref ce film est bien mais à mon avis les manques viennent du scénario. Un médecin de campagne filme bien cette transition que nous avons tous connus dans nos villages quand le médecin, celui qui avait soigné la dernière bronchite de Papy et le rhume de l'arrière petit-fils, prit sa retraite (et quand il y'a eu un remplaçant !!) Bref de l'émotion garantie par un Cluzet taillé exprès pour ce rôle et une Marianne Denicourt sublime. Allez voir ce film surtout si vous êtes de la campagne ou du monde médical !!",positif
Beaucoup d'humanité dans cette histoire de deux personnes estropiées physiquement et psychologiquement.,positif
L'histoire émouvante d'une fratrie confrontée aux tragédies de la vie. Une réalisation âpre pour un film poignant.,positif
"Ce film est une pure nullité. Le regarder en entier relève de l'exploit. En effet, il est d'une mollesse décourageante. Les plus masochistes qui voudraient le regarder jusqu'au bout s'infligeraient une terrible séance de torture. Et pour cause, les dialogues sont vraiment ridicules, 95% du film se passe dans une voiture (que c'est mou !), dans chaque cascade (plutôt rare et basique) on ressens le manque de budget. Une palme pour le jeux d'acteur du plus mauvais gout pour Adam Baldwin, qui interprète la brute Tate. A éviter.",négatif
"Un récit qui fait corps avec sa mise en scène. L’Île aux Chiens glisse par le truchement du cinéma d’animation pour une raison toute simple : la rudesse de son propos. La peinture féroce et sans concessions de son univers prend presque le pas sur l’humour doux-amer, marque de fabrique du cinéaste. Doublée d’une animation absolument renversante, L’Île aux Chiens fait montre d’un équilibre parfait entre ses éléments.",positif
"Tout comme dans ""Signes"" ou ""Le village"", l'inquiétude règne. Pas de grosse SF débridée, sur un fond fantastique le scénario se déroule lentement et posément, tout comme les personnages nous ignorons exactement ce qu'il se passe et nous le découvrons avec eux. Caméra bien posée, c'est bien filmé et le scénario, toujours originale et bien pensé nous emporte avec la belle Zooey Deschanel dans les magnifiques paysages calmes du New Jersey. Du vent dans une plante verte et nous somme scothés ! Un climat particulier inspiré de ceux de la quatrième dimension.",positif
"Très mauvais téléfilm. On dirait un plagiat de liaison fatale, sans consommation de l'acte, donc encore plus mièvre, et puis pour le suspense, on repassera, puisque la conclusion est attendue dès le début. Si Beyoncé essayait de mettre ses talents de comédienne en avant avec ce navet intersidéral, eh bien, c'est raté. Pour les fans inconditionnels de la chanteuse, uniquement.( J'avoue m'être endormie pendant le film, c'est dire la tension ). A fuir.",négatif
"L'excellence des scénarios de Philip K.Dick alliée à l'anticonformisme de la réalisation de Verhoeven, voilà un mariage bien surprenant, mais qui ne manque pas de panache ! Il en résulte une histoire passionnante qui se déroule dans un univers à la magie singulière. Surprenant, mais admirable, « Total Recall » s'est aujourd'hui imposée comme une uvre maîtresse de la Science-Fiction.",positif
"Excellent Tom Hanks, comme d'habitude, dans ce film drôle et émouvant.",négatif
beau film qui permet de rendre un peu de respect a ses francais d'origine maghrébine qui sen prenne plein la tete a longueur de journée dans nos pseudo médias. film à voir .,positif
"Sheitan et certainement l'une des pires production de ces dernières années.Réalisé par une bande de petit citadin qui n'ont jamais dut mettre un pied a la campagne et encore moins y croiser ses habitants.Les seuls fois on ils ont dut voir ce genre de personnes c'est au 13h de pernault.Tant le films et bourré de clichés idiots et poussifs,de plus le jeu de vincent cassel et une véritable catastrophe.Il connait certainement mieux lui aussi l'accent parisien et ses attitudes,que celle du milieu rural.Son jeu est complètement raté et rend son personnage totalement ridicule.Le scénario n'a aucun intérêt car tout et bien trop vu et revu,et bien trop lourdingue et poussif pour posséder une once d'originalité même au seconde degré ça ne marche absolument pas.",négatif
"Drôles d'oiseaux est un véritable un chef d'oeuvre !! les personnages sont très attachant , le méchant , une véritable saleté ^^ le film est très drôle par moment et on ne décroche pas de l'histoire une seul fois . du moins pour moi ... le film est passer tellement vite , je n'est vraiment pas vue le temps passer c'est un très beau film bien meilleur que tout les film d'animation actuelle et pourtant fait avec un budget largement inférieur ! je recommande ce film a tout le monde",positif
"Une demie étoile pour la forme... Beaucoup trop caricatural!!! Le scénario se résume en un mot bien récurrent, (inutile de le préciser)opérant une vision quelque peu niaise, limite débile, vulgaire, et avide de sens de notre jeunesse de banlieue... C'est sympa pour eux! J'ai failli décrocher au bout de 20 minutes... Mais je voulais voir jusqu'où une telle idiotie pouvait aller... Et j'ai bien fait, ma critique n'en a été que plus sévère... On ne s'improvise pas réalisateur ou scénariste. De plus c'est très mal joué, tellement mal joué qu'on n'y croit pas.... Mais où est donc passé notre Septième Art???!!!",négatif
Un film dégoûtant fait pour dégoûter. Aucun intérêt à part donner la nausée en montrant du gore à tout prix.,négatif
"La découverte d'un pays et d'une culture à travers la vie d'un trappeur. Le pays c'est le paysage, la montagne, la forêt, les rivières et la culture c'est les indiens par la relation amoureuse avec la femme à qui il s'est attaché. Pas vraiment d'aventure (hormis toujours cette chasse aux indiens) plutôt des moments d'une vie rudimentaire et courageuse dans cette nature sauvage. Très très beau portrait avec Gable rayonnant avec une fin un peu triste.",positif
"Un film porno qui ne s'assume pas comme tel. Les recettes employées sont les mêmes : scénario bidon, invraisemblances, de bonnes scènes de fesses, moultes acteurs mauvais, musique douteuse... Le passage du casting est hilarant. Encore plus drôle, quand Frédéric van Machin chose passe du rôle de gentil réalisateur à celui de sale pervers lançant des ""touchez-vous !"". On peut toutefois relever quelques différences avec le porno. La première, technique, est l'absence de gros plans. La seconde, c'est l'intrusion du fanstastique. La première scène avec la vieille est super funky. Les deux ""anges exterminateurs"" font plus penser aux deux petits vieux du muppet show qu'à deux diablesses. La référence à ""Orphée"" de Jean Cocteau est d'un ridicule affligeant. Au final, c'est le côté amateur du film, et cette espèce de merdouille fantastico-érotique, qui font mettre ce zéro pointé. Mais j'ai bien ri quand même...",négatif
"Très bien réalisé par André Cayatte, "" Les Amants de Vérone"" est une jolie fable, un drame entre 2 personnages qui sont les acteurs de Roméo et Juliette (et qui vivent eux même un amour impossible). Bref, un croisement, une recomposition de l'oeuvre Shakespearienne qui est une bonne idée sur le papier mais qui ne parvient pas à émerveiller, à détonner... Néanmoins, on peut trouver un certain nombre d'acteur plutôt bon dans leur registre que ce soit Serge Reggiani (brillant !) ou encore Anouk Aimée. On apprécie le voyage mais on aurait préféré plus, beaucoup plus d'où la déception qui ressort de cette critique. Dommage !",négatif
"Totalement loufoque, du grand n'importe quoi! Quelques moments drôles, mais si vous voulez un film crédible passez votre chemin.",négatif
